Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
UK,29-Jun-15,13-Aug-15,45,Model S 85,2800,60.9,246,No,2800,46,323,249,twice a month,monthly,once or twice a year,80%,11.74
UK,21-May-14,23-Oct-15,520,Model S 60,10500,20.2,180,No,10500,521,353,180,once or twice a year,a few times a year,once or twice a year,70%,63.39
UK,12-Oct-15,2-Nov-16,387,Model S 85D,34653,89.3,256,No,34653,388,345,267,daily,monthly,a few times a year,90%,156.56
UK,14-May-15,20-Nov-16,556,Model S 85,45959,82.5,231,No,45959,557,379,249,weekly,once or twice a year,never,70%,231.8
UK,2-Mar-15,14-Dec-16,653,Model S 85,37895,57.9,238,No,37895,654,358,249,a few times a year,monthly,never,80%,179.03
UK,20-Jun-16,24-Dec-16,187,Model S 85,16800,89.4,242,No,16800,188,318,249,monthly,a few times a year,never,90%,69.49
UK,6-Jan-16,25-Apr-17,475,Model S 85D,49129,103.2,266,No,49129,476,320,267,weekly,never,never,80%,201.98
UK,30-Dec-14,17-Apr-17,839,Model S 85,49900,59.4,239,No,49900,840,323,249,monthly,a few times a year,never,80%,212.27
UK,17-Mar-17,22-Apr-17,36,Model S 60D,2271,61.4,205,No,2271,37,,207,,,,,
UK,,18-Aug-17,42965,Model S 75D,3000,,239,No,3000,,305,242,,,,,12.59
UK,1-Mar-15,4-Oct-17,948,Model S 85,58633,61.8,241,No,58633,949,355,249,monthly,monthly,once or twice a year,80%,273
UK,5-Oct-15,31-Dec-17,818,Model S 85,25335,30.9,,No,,,332,249,weekly,twice a month,twice a month,80%,
Canada,2-May-14,12-May-15,375,Model S P85+,29629,78.8,414,No,29629,376,201,433,a few times a year,a few times a year,a few times a year,70%,78.1
Canada,11-Dec-14,3-Jun-15,174,Model S 85,11896,68,424,No,11896,175,232,433,monthly,once or twice a year,never,90%,35.77
Canada,6-Aug-13,12-Jun-15,675,Model S 85,73623,108.9,405,No,73623,676,223,433,twice a month,a few times a year,once or twice a year,90%,218.96
Canada,25-Apr-14,14-Jun-15,415,Model S P85,15425,37.1,408,No,15425,416,194,433,a few times a year,a few times a year,a few times a year,70%,39.78
Canada,8-Jan-14,27-Jun-15,535,Model S 85,45756,85.4,409,No,45756,536,210,433,a few times a year,a few times a year,never,80%,127.54
Canada,9-Mar-13,7-Jun-15,820,Model S 85,82059,100,389,No,82059,821,211,433,a few times a year,once or twice a year,never,90%,234.01
Canada,29-Nov-13,22-Oct-15,692,Model S P85,59365,85.7,414,No,59365,693,233,433,a few times a year,a few times a year,a few times a year,90%,181.39
Canada,11-Dec-14,27-Oct-15,320,Model S 85,19996,62.3,421,No,19996,321,209,433,monthly,once or twice a year,never,90%,54.36
Canada,18-Jun-15,7-Nov-15,142,Model S 85D,6900,48.3,428,No,6900,143,209,439,monthly,a few times a year,never,90%,18.73
Canada,10-Feb-15,4-Dec-15,297,Model S P85D,19985,67.1,408,No,19985,298,225,412,monthly,monthly,once or twice a year,90%,57.95
Canada,31-Mar-15,4-Dec-15,248,Model S 85D,24027,96.5,415,No,24027,249,189,439,monthly,monthly,never,90%,59.88
Canada,2-Feb-13,11-Nov-15,1012,Model S 85,70000,69.1,410,No,70000,"1,013",220,433,twice a month,twice a month,a few times a year,90%,202.92
Canada,20-May-15,13-Dec-15,207,Model S 85D,27000,129.8,430,No,27000,208,195,439,monthly,monthly,once or twice a year,90%,68.22
Canada,15-Mar-13,9-Sep-15,908,Model S 85,100000,110,406,No,100000,909,227,433,weekly,,,,300.53
Canada,15-Mar-13,1-Jan-16,1022,Model S 85,109350,106.9,396,No,109350,"1,023",227,433,once or twice a year,a few times a year,a few times a year,90%,332.62
Canada,18-Jun-15,28-Feb-16,255,Model S 85D,10680,41.7,428,No,10680,256,209,439,monthly,a few times a year,never,90%,29
Canada,15-Mar-13,22-Apr-16,1134,Model S 85,117272,103.3,401,No,117272,"1,135",243,433,once or twice a year,a few times a year,a few times a year,90%,379.56
Canada,15-Mar-13,8-Sep-16,1273,Model S 85,132000,103.6,400,No,132000,"1,274",215.12,433,monthly,a few times a year,a few times a year,90%,378.66
Canada,11-Dec-14,10-Sep-16,639,Model S 85,36474,57,422,No,36474,640,204,433,monthly,once or twice a year,never,90%,96.67
Canada,1-May-14,12-Oct-16,895,Model S 60,54401,60.7,307,No,54401,896,190,338,a few times a year,monthly,never,80%,185.23
Canada,18-Jun-15,16-Oct-16,486,Model S 85D,19550,40.1,432,No,19550,487,212,439,monthly,monthly,never,90%,53.59
Canada,15-Feb-14,31-Oct-16,989,Model S 85D,90000,90.9,428,No,90000,990,214,439,monthly,a few times a year,never,90%,251.72
Canada,23-Sep-13,4-Nov-16,1138,Model S P85,111001,97.5,398,No,111001,"1,139",212,433,twice a month,a few times a year,once or twice a year,80%,314.57
Canada,15-Mar-13,28-Nov-16,1354,Model S 85,139000,102.6,388,No,139000,"1,355",243,433,monthly,a few times a year,a few times a year,90%,457.05
Canada,15-Mar-13,17-Dec-16,1373,Model S 85,140626,102.3,398,No,140626,"1,374",214,433,monthly,a few times a year,a few times a year,90%,402.29
Canada,18-Jun-15,29-Dec-16,560,Model S 85D,22611,40.3,435,No,22611,561,218,439,a few times a year,a few times a year,never,90%,63.52
Canada,23-Sep-13,17-Feb-17,1243,Model S P85,120000,96.5,403,No,120000,"1,244",214.58,433,twice a month,a few times a year,once or twice a year,80%,342.14
Canada,15-Mar-13,18-Mar-17,1464,Model S 85,147433,100.6,382,No,147433,"1,465",214,433,monthly,a few times a year,a few times a year,90%,430.09
Canada,11-Dec-14,19-Mar-17,829,Model S 85,46800,56.4,420,No,46800,830,211,433,monthly,monthly,never,90%,129.39
Canada,1-Feb-17,19-Mar-17,46,Model S 60D,572,12.2,351,No,572,47,228,357,a few times a year,monthly,never,90%,2.25
Canada,28-Dec-16,21-Mar-17,83,Model X 60D,3800,45.2,323,No,3800,84,215,322,twice a month,twice a month,never,80%,13.08
Canada,15-Mar-13,25-Mar-17,1471,Model S 85,147694,100.3,398,No,147694,"1,472",215,433,monthly,a few times a year,a few times a year,90%,424.48
Canada,18-Jun-15,7-May-17,689,Model S 85D,27015,39.2,433,No,27015,690,209,439,a few times a year,a few times a year,never,90%,72.91
Canada,1-May-14,25-Jun-17,1151,Model S 60,64423,55.9,306,No,64423,"1,152",224,338,a few times a year,a few times a year,never,90%,259.01
Canada,15-Mar-13,4-Jul-17,1572,Model S 85,159750,101.6,400,No,159750,"1,573",220,433,monthly,monthly,a few times a year,90%,468.66
Canada,18-Jun-15,5-Aug-17,779,Model S 85D,31589,40.5,435,No,31589,780,206,439,a few times a year,a few times a year,never,90%,83.86
Canada,20-Jul-13,23-Aug-17,1495,Model S P85,60113,40.2,418,No,60113,"1,496",176,433,twice a month,once or twice a year,never,60%,138.98
Canada,15-Feb-14,6-Sep-17,1299,Model S 60,92242,71,298,No,92242,"1,300",220,338,monthly,monthly,a few times a year,90%,366.61
Canada,15-Feb-17,29-Oct-17,256,Model S 90D,5704,22.2,469,No,5704,257,197,475,twice a month,monthly,never,60%,13.75
Canada,15-Feb-17,16-Sep-17,213,Model S 90D,2647,12.4,472,No,2647,214,195,475,twice a month,monthly,never,60%,6.3
Canada,11-Dec-14,18-Nov-17,1073,Model S 90,53900,50.2,452,Yes,100,2,204,451,monthly,a few times a year,once or twice a year,90%,0.25
Canada,11-Dec-14,10-Dec-17,1095,Model S 90,56500,51.6,460,Yes,127125,"2,466",208,451,monthly,a few times a year,once or twice a year,80%,320.15
Canada,1-May-17,18-Dec-17,231,Model X 100D,20690,89.2,475,No,20690,232,271,475,a few times a year,a few times a year,never,80%,56.63
Canada,1-Nov-13,18-Dec-17,1508,Model S 85,145708,96.6,426,Yes,84996,880,272,433,a few times a year,a few times a year,never,80%,300.78
Canada,1-May-17,18-Jan-18,262,Model S 75,18700,71.1,389,No,18700,263,215.43,401,a few times a year,a few times a year,never,70%,55.88
Canada,15-Mar-13,10-Feb-18,1793,Model S 85,178200,99.3,387,No,178200,"1,794",221,433,weekly,monthly,a few times a year,90%,533.55
Canada,1-Dec-13,12-Apr-18,1593,Model S 85,168130,105.5,392,No,168130,"1,594",215.55,433,monthly,monthly,a few times a year,90%,487.98
USA,22-Mar-14,8-Apr-14,17,Model S 85,2000,111.1,271,No,2000,18,303,269,monthly,once or twice a year,never,70%,7.79
USA,22-Mar-14,16-Apr-15,390,Model S 85,21000,53.7,256,No,21000,391,303,269,monthly,once or twice a year,never,70%,84.15
USA,7-Jun-13,11-May-15,703,Model S P85,43715,62.1,251,No,43715,704,304,269,weekly,a few times a year,once or twice a year,90%,176.36
USA,28-Feb-15,11-May-15,72,Model S 85D,13679,187.4,269,No,13679,73,324,273,twice a month,twice a month,never,80%,57.25
USA,7-May-15,28-May-15,21,Model S P85D,1061,48.2,253,No,1061,22,389,256,weekly,never,never,80%,5.36
USA,1-Apr-13,31-May-15,790,Model S 85,60350,76.3,250,No,60350,791,336,269,,never,,,269.62
USA,9-Aug-13,31-May-15,660,Model S 85,46335,70.1,252,No,46335,661,318,269,,,,,195.16
USA,1-May-14,1-May-15,365,Model S 60,24903,68,190,No,24903,366,316,210,twice a month,twice a month,once or twice a year,90%,141.26
USA,1-Jun-15,2-Jun-15,1,Model S 70D,50,25,240,No,50,2,335,243,a few times a year,once or twice a year,once or twice a year,,0.24
USA,29-Mar-14,2-Jun-15,430,Model S 85,27744,64.4,261,No,27744,431,329,269,twice a month,a few times a year,never,,118.84
USA,27-Feb-13,5-Jun-15,828,Model S 60,50300,60.7,199,No,50300,829,298,210,twice a month,twice a month,once or twice a year,80%,263.17
USA,28-Mar-14,5-Jun-15,434,Model S 60,36800,84.6,178,No,36800,435,300,210,monthly,weekly,a few times a year,90%,204.31
